asof_date,symbol,exchange,asset_type,universe_bucket,history_coverage_days_20d,adv_dollar_rth_20d,avg_spread_bps_rth_20d,rth_active_minutes_share_20d,open_30m_dollar_share_20d,close_60m_dollar_share_20d,clean_intraday_score_20d,consistency_score_20d,close_hygiene_20d,wickiness_20d,pm_dollar_share_20d,pm_trades_share_20d,pm_active_minutes_share_20d,pm_spread_bps_20d,pm_wickiness_20d,midday_dollar_share_20d,midday_trades_share_20d,midday_active_minutes_share_20d,midday_spread_bps_20d,midday_efficiency_20d,ah_dollar_share_20d,ah_trades_share_20d,ah_active_minutes_share_20d,ah_spread_bps_20d,ah_wickiness_20d,reclaim_respect_rate_20d,reclaim_failure_rate_20d,reclaim_followthrough_r_20d,ob_sweep_reversal_rate_20d,ob_sweep_depth_p75_20d,fvg_sweep_reversal_rate_20d,fvg_sweep_depth_p75_20d,stop_hunt_rate_20d,setup_decay_half_life_bars_20d,early_vs_late_followthrough_ratio_20d,stale_fail_rate_20d
2026-03-06,AAOI,NASDAQ,stock,us_midcap,20,19362241.04625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,AMG,NYSE,stock,us_midcap,20,9653308.847749999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,ARES,NYSE,stock,us_largecap,20,35920650.53225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,ARWR,NASDAQ,stock,us_midcap,20,6504193.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,ASTS,NASDAQ,stock,us_largecap,20,29428143.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,AVAV,NASDAQ,stock,us_largecap,20,16915042.1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,BAX,NYSE,stock,us_midcap,20,14798860.640999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,BE,NYSE,stock,us_largecap,20,51011511.807500005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,BLDR,NYSE,stock,us_largecap,20,17914472.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,BROS,NYSE,stock,us_midcap,20,12309854.065000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,BURL,NYSE,stock,us_largecap,20,18531590.2555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,BX,NYSE,stock,us_largecap,20,51389699.32475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,CART,NASDAQ,stock,us_midcap,20,10705440.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,CF,NYSE,stock,us_largecap,20,16380830.711000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,CG,NASDAQ,stock,us_largecap,20,11470827.96125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
