rank,symbol,score,price,gap_pct,volume,avg_volume,rel_volume,macro_bias,news_catalyst_score,long_allowed,no_trade_reason
1,SMCI,6.5971,32.16,8.24638,42086487.0,0.0,0.0,0.0,0.0,True,
2,PWR,5.344,554.0,6.68002,1700049.0,0.0,0.0,0.0,0.0,True,
3,AMD,1.2992,203.37,1.62403,25161037.0,0.0,0.0,0.0,0.0,True,
4,META,0.194,644.78,0.24253,9972501.0,0.0,0.0,0.0,0.0,True,
5,TSLA,0.0959,411.71,0.11989,49015490.0,0.0,0.0,0.0,0.0,True,
6,AMZN,0.0273,204.86,0.03418136,34070278.0,0.0,0.0,0.0,0.0,True,
7,NVDA,-0.034,187.9,-0.04255772,124309275.0,0.0,0.0,0.0,0.0,True,
8,GOOGL,-0.1266,302.85,-0.15824,25614991.0,0.0,0.0,0.0,0.0,True,
9,MSFT,-0.2282,398.46,-0.28529,27956029.0,0.0,0.0,0.0,0.0,True,
10,PLTR,-0.2896,134.89,-0.36194,40624471.0,0.0,0.0,0.0,0.0,True,
